feature,coefficient,abs_coefficient,direction,normalized_importance
glare_clipped_pixel_ratio,1.5366039534627793,1.5366039534627793,toward_damaged,0.20963788105669673
glare_area_ratio,-1.2766853071510376,1.2766853071510376,toward_clean,0.1741773486682914
shadow_area_ratio,1.2588179155755261,1.2588179155755261,toward_damaged,0.17173971202063118
dirt_hue_shift_score,0.8839993402966086,0.8839993402966086,toward_damaged,0.12060345682286946
damage_line_density,-0.7596792397140367,0.7596792397140367,toward_clean,0.10364254610794263
dirt_area_ratio,0.6562289670204184,0.6562289670204184,toward_damaged,0.0895288924801779
shadow_directionality_score,0.45886934303337285,0.45886934303337285,toward_damaged,0.06260324694506582
brightness_median,-0.2493743879611195,0.2493743879611195,toward_clean,0.03402198605839135
damage_irregular_line_score,-0.144408692607855,0.144408692607855,toward_clean,0.019701584299751634
laplacian_variance,-0.10513386870651192,0.10513386870651192,toward_clean,0.014343345540181827
